concurrency,count,command,Mean [CPU]Totl% excluding 0%,Mean [MEM]Used,sum(Disk Read + Write KB)
1,1,load,17.376842105263158,4942526.614601019,78380338.0
1,2,load,17.181494661921707,5376061.679487179,20062.0
1,3,load,16.225352112676056,5404090.0784313725,18215.0
1,4,load,16.823943661971832,5402536.774193549,20000.0
1,5,load,17.006872852233677,5391454.869565218,17067.0
1,6,load,17.482876712328768,5399817.118012423,22400.0
1,7,load,16.947183098591548,5405023.018867925,21233.0
1,8,load,16.70175438596491,5409318.13592233,21100.0
1,9,load,17.35611510791367,5406798.503225806,22800.0
1,10,load,17.08053691275168,5422907.232198142,46800.0
1,11,load,16.92526690391459,5407599.922829582,19929.0
1,12,load,17.320284697508896,5408032.063492063,22800.0
1,13,load,17.481099656357387,5412652.757097792,18200.0
1,14,load,17.173010380622838,5409939.810126582,20933.0
1,15,load,16.819444444444443,5405956.385093167,35256.0
1,16,load,16.464028776978417,5426923.443037975,20000.0
1,17,load,16.17921146953405,5411089.341935484,24433.0
1,18,load,16.752727272727274,5420207.019354839,22800.0
1,19,load,16.72318339100346,5411491.06918239,19600.0
1,20,load,16.127208480565372,5422021.779220779,27100.0
1,21,load,16.833333333333332,5425247.643312102,21600.0
1,22,load,17.021505376344088,5419917.350482315,17371.0
1,23,load,16.544483985765126,5428021.506329114,19400.0
1,24,load,17.12142857142857,5418811.897106109,19754.0
1,25,load,17.35737704918033,5417162.242424242,18800.0
1,26,load,17.248251748251747,5430061.643312102,20367.0
1,27,load,16.989436619718308,5439773.962025316,20267.0
1,28,load,16.29032258064516,5447668.681967213,36390.0
1,29,load,17.282312925170068,5422344.024767802,32975.0
1,30,load,16.80821917808219,5433158.346820809,23600.0
1,31,load,17.013986013986013,5430252.335403726,18800.0
1,32,load,16.323943661971832,5440492.794871795,38993.0
1,33,load,16.580882352941178,5448459.583061889,21600.0
1,34,load,16.314878892733564,5440999.111111111,19908.0
1,35,load,17.026936026936028,5434117.663608563,23200.0
1,36,load,16.372340425531913,5460567.797468354,23133.0
1,37,load,16.354014598540147,5465663.365695793,18400.0
1,38,load,16.79225352112676,5451885.757961784,24462.0
1,39,load,16.365248226950353,5401174.79245283,21167.0
1,40,load,16.752650176678443,5420214.17721519,22000.0
1,41,load,16.652482269503547,5432153.433962264,26333.0
1,42,load,17.10839160839161,5422097.911392405,24433.0
1,43,load,17.02173913043478,5422719.361022364,35200.0
1,44,load,16.581227436823106,5421868.181229774,22800.0
1,45,load,16.993031358885016,5422110.410094637,20933.0
1,46,load,16.892086330935253,5435475.689320388,18733.0
1,47,load,16.938628158844764,5425964.051446945,21900.0
1,48,load,17.701639344262293,5421169.445783133,23200.0
1,49,load,16.501831501831504,5423228.532467533,28500.0
1,50,load,16.775800711743774,5441684.874598071,22400.0
1,51,load,16.98611111111111,5430434.54313099,26162.0
1,52,load,16.939929328621908,5446295.463258786,18267.0
1,53,load,17.25263157894737,5437226.170347003,22800.0
1,54,load,17.21875,5442787.730061349,34333.0
1,55,load,15.91459074733096,5452002.533762058,21208.0
1,56,load,16.633451957295375,5448710.420382165,22800.0
1,57,load,16.775086505190313,5439494.352941177,23200.0
1,58,load,17.150877192982456,5441338.2289156625,36757.0
1,59,load,16.32867132867133,5442459.885714286,33567.0
1,60,load,16.10600706713781,5459246.3873015875,21500.0
1,61,load,17.086330935251798,5461498.86984127,34800.0
1,62,load,17.434782608695652,5460895.148148148,20887.0
1,63,load,16.887719298245614,5455740.738853503,25762.0
1,64,load,16.767025089605735,5456545.333333333,41167.0
1,65,load,17.48328267477204,5452009.4186046515,30333.0
