concurrency;count;command;date_time;used_mem;cached;buffer;swap
1;1;stop_command;2024-04-14_16-32-03;1327760;3042468;161432;1000444
1;2;stop_command;2024-04-14_16-33-36;1327328;3042612;161596;1000444
1;3;load_command;2024-04-14_16-34-39;688060;3435428;161692;1000444
1;3;stop_command;2024-04-14_16-35-11;1323684;3042612;161788;1000444
1;4;stop_command;2024-04-14_16-36-44;1321916;3042612;161968;1000444
1;5;stop_command;2024-04-14_16-38-18;1328100;3042612;162140;1000444
1;6;load_command;2024-04-14_16-39-20;686840;3617348;162240;1000444
1;6;stop_command;2024-04-14_16-39-52;1324760;3042612;162340;1000444
1;7;load_command;2024-04-14_16-40-55;686940;3123968;162428;1000444
1;7;stop_command;2024-04-14_16-41-27;1320776;3042612;162548;1000444
1;8;stop_command;2024-04-14_16-43-00;1322944;3042664;162672;1000444
1;9;stop_command;2024-04-14_16-44-34;1328732;3042664;162848;1000444
1;10;stop_command;2024-04-14_16-46-07;1317364;3042664;163052;1000444
1;11;stop_command;2024-04-14_16-47-41;1319140;3042792;163276;1000444
1;12;stop_command;2024-04-14_16-49-14;1311628;3042792;163448;1000444
1;13;load_command;2024-04-14_16-50-16;692452;3776328;163552;1000444
1;13;stop_command;2024-04-14_16-50-49;1316948;3042792;163648;1000444
1;14;load_command;2024-04-14_16-51-51;693716;3405888;163732;1000444
1;14;stop_command;2024-04-14_16-52-23;1332956;3042792;163832;1000444
1;15;stop_command;2024-04-14_16-53-57;1329312;3042792;164040;1000444
1;16;stop_command;2024-04-14_16-55-30;1314644;3042792;164232;1000444
1;17;stop_command;2024-04-14_16-57-04;1328552;3042792;164456;1000444
1;18;stop_command;2024-04-14_16-58-37;1321880;3042792;164640;1000444
1;19;stop_command;2024-04-14_17-00-11;1324052;3042792;164804;1000444
1;20;stop_command;2024-04-14_17-01-44;1330436;3042920;164992;1000444
1;21;stop_command;2024-04-14_17-03-18;1326764;3042908;165208;1000444
1;22;stop_command;2024-04-14_17-04-51;1315172;3042920;165356;1000444
1;23;load_command;2024-04-14_17-05-53;693052;3546692;165428;1000444
1;23;stop_command;2024-04-14_17-06-26;1312368;3042920;165536;1000444
1;24;stop_command;2024-04-14_17-07-59;1322712;3042920;165716;1000444
1;25;load_command;2024-04-14_17-09-01;689436;3149916;165812;1000444
1;25;stop_command;2024-04-14_17-09-34;1324292;3042920;165920;1000444
1;26;stop_command;2024-04-14_17-11-07;1326580;3042920;166104;1000444
1;27;load_command;2024-04-14_17-12-09;695588;3207116;166192;1000444
1;27;stop_command;2024-04-14_17-12-41;1325088;3042920;166276;1000444
1;28;stop_command;2024-04-14_17-14-15;1317736;3043048;166472;1000444
1;29;stop_command;2024-04-14_17-15-48;1319540;3043048;166648;1000444
1;30;stop_command;2024-04-14_17-17-22;1315608;3043048;166848;1000444
1;31;stop_command;2024-04-14_17-18-55;1320948;3043048;167044;1000444
1;32;stop_command;2024-04-14_17-20-29;1333340;3043048;167236;1000444
1;33;stop_command;2024-04-14_17-22-02;1314808;3043048;167396;1000444
1;34;stop_command;2024-04-14_17-23-36;1321952;3043048;167576;1000444
1;35;load_command;2024-04-14_17-24-38;685456;3124304;167672;1000444
1;35;stop_command;2024-04-14_17-25-10;1323020;3043048;167792;1000444
1;36;stop_command;2024-04-14_17-26-44;1307324;3043048;167992;1000444
1;37;stop_command;2024-04-14_17-28-17;1321976;3043176;168192;1000444
