concurrency,count,load_time,instantiate_time,stop_time,container_removal_time,image_removal_time,display_date
1,1,11057500528,131809572,1583181531,37515279,468927625,2024-04-15 14:42:00
1,2,11633823121,137826926,1378684143,42321950,461865932,2024-04-15 14:43:45
1,3,12099980348,153767172,2068843267,36477336,507142810,2024-04-15 14:45:30
1,4,12256330199,157260055,1951177803,37742461,464088228,2024-04-15 14:47:15
1,5,12202525259,149881537,1384056088,36943799,467286269,2024-04-15 14:49:00
1,6,11920126012,150802417,1386054596,37460618,464211505,2024-04-15 14:50:45
1,7,11747691910,137759324,1383513623,37643858,460736444,2024-04-15 14:52:30
1,8,11885463592,155301496,1356533468,36486389,466274853,2024-04-15 14:54:14
1,9,11675641851,160688538,1338836785,35935820,463607510,2024-04-15 14:55:59
1,10,11178648876,146899438,1363902160,45856149,528785940,2024-04-15 14:57:44
1,11,11897345793,141885188,1389049589,36741285,471224271,2024-04-15 14:59:29
1,12,11830445356,151798637,1403857203,39510608,473170815,2024-04-15 15:01:14
1,13,10954972512,151137006,1370261632,36167185,520564300,2024-04-15 15:02:58
1,14,12135081115,161081995,1912241010,50380503,471009033,2024-04-15 15:04:43
1,15,12120886686,193052010,1968598605,37823287,464741983,2024-04-15 15:06:27
1,16,11166630789,167400172,1382650245,38807804,462019359,2024-04-15 15:08:12
1,17,12112274605,140883701,1914756936,49204492,462231908,2024-04-15 15:09:57
1,18,11979638218,153174386,1358285329,37632323,523924289,2024-04-15 15:11:42
1,19,11109732305,148267732,1361608516,40601073,463325707,2024-04-15 15:13:26
1,20,11901017818,158027342,1348827941,43496256,509765661,2024-04-15 15:15:11
1,21,10976058991,172203187,1935431779,36794779,465502165,2024-04-15 15:16:54
1,22,11182390330,162753447,1441925501,38876308,463500564,2024-04-15 15:18:39
1,23,11119567249,150078094,1941989704,35157449,471954536,2024-04-15 15:20:23
1,24,11653420599,172504170,1397853444,35616101,485704319,2024-04-15 15:22:08
1,25,12397372664,159091407,1901218935,38699296,468845825,2024-04-15 15:23:53
1,26,12159205541,169190027,1940079598,45804553,470406586,2024-04-15 15:25:38
1,27,11857803923,144319413,1357336179,37844050,506639008,2024-04-15 15:27:23
1,28,11204524205,175025174,1357741059,41690618,463785742,2024-04-15 15:29:08
1,29,12164761920,142972823,2151851401,38777633,467441581,2024-04-15 15:30:53
1,30,12028084451,150136264,1382297799,37271899,461991482,2024-04-15 15:32:38
1,31,11101844800,156167425,1420332298,35115491,465111060,2024-04-15 15:34:22
1,32,11980717041,155258874,1383296576,63379708,467997942,2024-04-15 15:36:07
1,33,12215961529,150864963,2073366241,38038652,463739228,2024-04-15 15:37:52
1,34,11138471476,177520846,1389537954,36673201,517184771,2024-04-15 15:39:36
1,35,11873153491,145831862,1380437369,49407255,464961347,2024-04-15 15:41:21
